Identificador da transação;Bandeira do Cartão;Distância de Casa;Distância da Última Transação;Razão entre o valor da compra e o valor médio;Local Repetido;Usou Chip;Usou Senha;Online;Fraude
18A79;AMEX;157,7249053;6,782006923;0,215050293;1;0;0;1;?
18C82;AMEX;18,05086098;4,319051377;0,453059243;1;0;0;1;?
18FCA;ELO;328,0356118;1,163802549;3,339325714;1;0;0;1;?
19717;MASTER;15,68449535;0,044943267;1,400933123;1;0;0;1;?
19972;VISA;1,665179314;2,097129573;5,200222538;0;1;0;1;?
19E45;MASTER;17,14443524;0,221329646;5,063427864;1;0;0;1;?
1A173;DINNERS;7,38390574;0,224351714;2,280146884;1;0;0;1;?
1A1DC;AMEX;13,49194012;24,82472884;10,19435884;1;0;0;0;?
1A7F4;ELO;1,358794849;1,071240874;8,565492211;0;1;0;1;?
1AE56;ELO;2,690045969;2,902193365;0,401838122;1;0;0;1;?
1AF6F;DINNERS;8,319802056;2,946593701;0,069985115;1;1;0;1;?
1AFCC;MASTER;132,1193402;1,734558255;0,507687697;1;0;0;1;?
1B403;VISA;22,85493929;0,065104802;4,609457564;1;1;0;1;?
1B5AC;DINNERS;3,246637106;0,100644305;0,764646055;1;0;1;1;?
1BA52;AMEX;17,92387968;0,461617856;0,200492719;1;1;0;1;?
1BB45;VISA;1,006027006;0,074332635;14,50168757;0;0;0;1;?
1BCFE;MASTER;30,54817932;1,362458796;5,674145913;1;0;1;1;?
1BEE9;ELO;15,34237;0,617280499;15,61486841;1;1;0;1;?
1BFD9;DINNERS;3,15793856;1,518898874;10,37461359;1;0;0;1;?
1C1A9;DINNERS;6,723445292;4,018906101;0,82020881;1;1;0;1;?
1C6C3;AMEX;3,657784024;0,086008937;0,565987665;1;0;0;0;?
1CF1E;ELO;47,41568031;8,21839401;0,72109791;1;0;0;1;?
1D162;MASTER;3,252473731;2,164226739;0,457781061;1;1;0;1;?
1D425;VISA;164,1029649;0,205730269;15,97030197;1;1;0;0;?
1D7E4;MASTER;12,71240607;0,523581764;0,653477852;1;1;0;1;?
1D9F5;MASTER;181,8786677;4,221286879;1,156859995;1;0;0;1;?
1DB90;MASTER;11,08079402;0,245596563;1,273299618;1;0;0;1;?
1DE2B;ELO;199,0379021;5,926014877;0,116490862;1;0;0;1;?
1DFAB;ELO;4,783225966;0,166064436;15,27612206;1;0;0;1;?
1E220;MASTER;9,046018239;1,342226406;0,188888423;1;1;0;1;?
1EEDB;DINNERS;15,93183513;9,863388091;4,543568799;1;0;0;1;?
1F4DC;MASTER;1,457156212;16,59700304;1,424996629;0;0;1;1;?
1F4FE;DINNERS;4,304047581;0,632199407;0,735380684;1;0;0;0;?
1F7F2;ELO;100,5805056;0,533912549;0,077538961;1;0;0;1;?
1FAA2;MASTER;19,17621979;0,258395325;0,325243332;1;0;1;1;?
1FB92;DINNERS;58,35660286;0,552202077;4,014634847;1;1;0;1;?
1FED5;ELO;10,55857087;0,557413945;5,3100445;1;0;0;1;?
2063F;VISA;2,162843279;2,1313973;0,492718594;1;0;0;1;?
20A76;DINNERS;9,229713305;3,502674778;0,101511753;1;0;0;1;?
20DF2;AMEX;49,06417154;0,379009046;1,384642724;1;0;0;0;?
211D6;MASTER;1,38736278;0,177995045;4,038132146;0;0;0;1;?
21411;MASTER;161,0800201;1,865340707;0,541660146;1;0;0;1;?
21650;MASTER;14,89077513;50,24296821;1,400670737;1;0;0;1;?
21B6D;AMEX;6,29065252;0,107680329;6,353257691;1;0;0;1;?
21C2E;AMEX;2,455098752;0,458850569;4,167853287;1;1;0;1;?
21D61;AMEX;23,25929679;0,145760559;0,78569804;1;1;0;1;?
21EF0;ELO;5,734250177;5,882852275;0,508797983;1;1;1;1;?
2229C;DINNERS;17,80998768;3,732033948;1,96787853;1;0;1;0;?
22382;DINNERS;55,82857911;4,068853073;4,569191567;1;1;0;1;?
22393;AMEX;41,29937629;11,72619329;5,604891921;1;1;0;1;?
223E6;DINNERS;17,06208527;87,50310131;3,888480928;1;0;0;1;?
226B7;ELO;41,77467247;0,318197929;3,012476946;1;1;0;1;?
22ADF;AMEX;6,191613079;1,681059691;0,848440599;1;0;0;1;?
239B9;VISA;3,233421886;0,282175153;1,796648252;1;0;0;1;?
23F3E;VISA;2,585015227;0,264618933;0,446976587;1;0;0;1;?
24220;VISA;6,495981847;1,467965156;5,206697517;1;0;0;1;?
2433F;ELO;50,62877341;19,42710037;3,009400601;1;0;0;1;?
243D0;DINNERS;10,68631774;0,109335442;4,510825219;1;1;0;1;?
24B6E;ELO;258,9726011;3,041525256;1,375568692;1;0;0;1;?
24CB9;MASTER;39,0212293;2,62135849;1,199161581;1;1;0;1;?
253E8;VISA;16,6455784;1,22895604;19,66687294;1;0;0;1;?
259F5;ELO;7,387695846;1,59882689;0,847218144;1;0;0;1;?
261C3;AMEX;9,748942017;152,023145;1,063725326;1;0;0;1;?
26DF1;ELO;9,256743662;6,36783648;0,108691865;1;1;0;1;?
272E3;ELO;193,0322434;0,240997482;3,908193164;1;0;0;1;?
274C4;VISA;130,999918;1,541309604;1,354338542;1;0;0;1;?
2752C;DINNERS;129,2907317;0,503567167;1,399314201;1;0;0;1;?
2786D;DINNERS;28,18100742;0,188856422;0,781027197;1;1;0;1;?
27CD3;DINNERS;0,279239001;0,533745006;1,515041095;0;0;0;1;?
27E2E;AMEX;0,475604027;0,208201648;1,809656362;0;0;1;1;?
28015;VISA;6,73600462;0,024405413;8,504951613;1;0;0;1;?
28248;ELO;12,94663746;0,072736135;4,616383825;1;0;0;1;?
284F9;DINNERS;2,596145155;89,92923255;0,948118698;1;0;0;1;?
2878E;AMEX;22,86666517;0,564382794;3,760495719;1;0;0;1;?
28ADC;DINNERS;1,399560422;2,570970143;3,393786067;0;0;0;0;?
28AEC;MASTER;1,284612941;0,289141449;7,626158272;0;1;0;1;?
28CFB;DINNERS;9,843054819;11,72343439;1,948777069;1;0;0;1;?
28E79;DINNERS;11,69665499;0,074943725;12,24163705;1;0;0;1;?
29230;ELO;9,374968565;7,13419244;5,742453989;1;1;0;1;?
29274;MASTER;21,07248078;0,56966188;0,195985173;1;1;0;0;?
29902;AMEX;36,25933326;0,033923109;0,743043444;1;0;0;1;?
299B6;MASTER;17,69476948;0,236127338;8,97810545;1;0;0;1;?
2A105;DINNERS;10,8299427;0,175591502;1,294218811;1;0;0;0;?
2B4F0;VISA;48,75503625;0,179615874;0,128024439;1;1;0;1;?
2B6C5;ELO;11,41176284;2,233248098;1,761724847;1;1;0;1;?
2C6EA;AMEX;372,6422991;0,035625879;2,229731987;1;0;0;1;?
2C71E;ELO;226,3897766;0,185901035;0,248019071;1;0;0;1;?
2C895;ELO;44,78111864;0,005958035;4,426064327;1;0;0;1;?
2CD98;AMEX;7,288792826;0,006608092;3,061352607;1;0;0;0;?
2CF39;DINNERS;83,74418978;0,2515411;1,93317773;1;0;0;1;?
2D08F;MASTER;29,16190011;1,752120803;0,687967369;1;0;0;1;?
2D1BA;ELO;10,7938467;0,306373403;1,91738704;1;0;0;0;?
2D432;AMEX;4,689136698;9,007469779;5,098678638;1;1;0;1;?
2D4BE;VISA;24,50395821;51,69425622;4,518254104;1;0;0;1;?
2D7A5;DINNERS;8,617861783;0,885889003;6,997456607;1;0;0;1;?
2D892;VISA;11,92402578;0,489777043;1,530553201;1;0;0;1;?
2DAB3;AMEX;20,01333326;0,942196049;1,923442898;1;1;0;0;?
2DC16;ELO;2,987853654;9,315192457;1,921045575;1;0;0;1;?
2DC88;AMEX;8,71685811;0,572172697;5,186966863;1;0;0;1;?
2DD56;MASTER;17,26156597;24,74398076;19,13148713;1;0;0;1;?
2DD96;MASTER;146,7204403;3,038585085;0,886938323;1;0;0;1;?
2EDEA;AMEX;24,26890632;0,136521016;1,501787856;1;1;1;1;?
2EEED;DINNERS;0,147547879;0,198673059;13,83286381;0;0;0;0;?
2F13A;VISA;26,83582371;1,24919608;1,997505023;1;0;0;1;?
2F21A;MASTER;13,17497081;3,976882394;1,584383972;1;0;0;1;?
2FA91;AMEX;129,7812293;0,598309629;6,941711791;1;0;0;1;?
2FB1B;VISA;34,02609896;0,584336696;0,413582767;1;0;0;1;?
2FBE2;DINNERS;6,136180829;2,57957435;1,494086903;1;1;1;1;?
3085E;AMEX;6,08934142;12,29795225;4,625347302;1;0;0;1;?
30EE4;VISA;1,1178119;0,121391185;8,578859451;0;1;0;1;?
31B4B;ELO;6,564853591;0,041256959;0,500399243;1;0;0;1;?
31C32;AMEX;3,427954441;0,075586164;0,683654807;1;0;0;1;?
31EA4;AMEX;2,413903367;0,493391023;4,190097857;1;0;0;1;?
32256;DINNERS;1,869959393;2,514884917;1,394792458;0;0;0;1;?
32727;ELO;286,3045544;0,084920551;0,170453622;1;0;0;1;?
32A42;ELO;6,649470226;0,801349068;1,467927953;1;0;0;0;?
32A47;ELO;9,740876146;3,180453521;4,89009967;1;1;0;1;?
32A4B;DINNERS;6,228760014;0,7041171;6,263280987;1;1;0;1;?
32B1E;DINNERS;1,480804056;0,073384832;5,289147818;0;0;0;1;?
32C05;MASTER;245,6368297;0,017468826;1,26659701;1;0;0;1;?
32C61;AMEX;7,847434937;0,671282692;1,070598532;1;1;0;1;?
33540;MASTER;1,119643026;0,961857776;1,19647424;0;0;0;1;?
33872;MASTER;5,317065127;1,643582444;0,357717814;1;0;0;0;?
33F03;DINNERS;114,8647925;1,478571262;0,59605489;1;0;0;1;?
345BA;ELO;47,51681939;10,52908129;4,701574264;1;0;0;1;?
345D0;ELO;201,8559062;17,94928924;0,839341564;1;0;0;1;?
34904;VISA;4,030714967;0,52131701;9,506559409;1;0;0;1;?
34912;DINNERS;9,441918016;0,547374072;9,953553001;1;0;0;1;?
34CC9;AMEX;38,33596661;0,207041498;2,131366155;1;1;0;1;?
34D9A;ELO;6,193254313;4,342273145;0,296246673;1;1;0;1;?
355F4;VISA;70,2830816;0,482615482;15,1919325;1;0;0;1;?
35638;DINNERS;67,57552427;0,762198277;12,27223417;1;0;0;1;?
35C05;ELO;4,161105986;3,030426139;8,091715583;1;0;0;1;?
35DE6;VISA;11,54204044;0,804852308;0,157328153;1;0;0;1;?
35FE1;MASTER;105,9691611;9,101813649;2,389195044;1;0;0;1;?
361D9;DINNERS;4,834574507;2,172231927;0,216922917;1;1;0;1;?
36281;VISA;15,71682606;0,105937475;0,997445192;1;0;0;1;?
36393;MASTER;2,60817426;1,792250154;0,547483245;1;1;0;0;?
363E8;MASTER;80,85440944;0,205440223;4,977483916;1;0;0;1;?
3668E;MASTER;20,01322114;2,731313931;15,75001896;1;1;0;1;?
37701;DINNERS;39,23597184;0,842249062;1,077600858;1;0;0;0;?
37A25;MASTER;105,6341643;0,136774164;7,252966263;1;1;0;1;?
37AA7;AMEX;23,14975501;0,51871319;1,058594868;1;0;0;1;?
37D23;AMEX;27,86854439;0,346827384;1,186033222;1;1;0;1;?
38109;ELO;1,626024408;0,245508717;1,335301025;0;0;0;1;?
38607;ELO;53,46555834;0,088406625;0,204612702;1;0;0;1;?
39E1B;VISA;14,24377671;0,037334044;0,500000261;1;0;0;1;?
39E1F;ELO;20,30566764;0,147978414;1,030639511;1;1;0;1;?
39EA1;AMEX;0,569994656;0,116874292;4,596341438;0;0;0;1;?
39ED8;MASTER;8,27774335;0,014195637;1,314611665;1;1;0;1;?
39F7E;MASTER;6,976530602;0,044035496;0,391514005;1;0;0;1;?
39F97;MASTER;12,49906736;0,087460629;21,55482208;1;0;0;1;?
3A762;VISA;23,11511752;33,87283874;5,100393651;1;1;0;1;?
3AF07;ELO;45,07885654;2,042706554;4,318835604;1;1;0;1;?
3B371;DINNERS;22,44651789;1,533898548;0,290251917;1;0;0;0;?
3B490;VISA;32,5764454;0,441929949;28,24031391;1;0;0;1;?
3B833;VISA;124,7217064;0,254718859;0,681738104;1;0;0;0;?
3BDDD;DINNERS;281,6837583;19,52728925;1,135383391;1;0;0;1;?
3C52C;DINNERS;45,24814646;0,21010688;0,918258631;1;0;0;0;?
3CA68;AMEX;55,42083231;0,627517781;0,900720391;1;0;0;1;?
3CE36;ELO;57,53565458;1,72891801;1,389868889;1;0;0;0;?
3D1C7;AMEX;1,822821903;13,26682079;2,14737151;0;0;0;1;?
3D6B2;ELO;38,23793026;1,990738447;9,573065605;1;0;0;1;?
3DCBB;AMEX;5,67913227;0,089531631;0,666496083;1;0;0;1;?
3DE8E;MASTER;16,79973333;53,09802905;1,027478872;1;0;0;1;?
3E1C7;VISA;23,23313253;13,44436645;0,208373701;1;0;0;1;?
3E242;ELO;35,26648271;0,085185008;0,174184253;1;1;0;1;?
3E283;VISA;8,839046704;2,970512276;2,361682547;1;0;0;1;?
3E33E;ELO;51,92318723;0,412924656;2,492684506;1;0;0;0;?
3EAE4;AMEX;5,407948148;0,165038406;2,392868843;1;0;0;0;?
3EBF8;ELO;69,64719839;0,171241613;0,32462101;1;0;0;1;?
3EC0F;AMEX;202,7574416;0,275015145;0,775548534;1;0;1;1;?
3EF82;VISA;536,2266215;0,543462763;2,373521176;1;0;0;1;?
3FC0F;DINNERS;36,82574869;0,69706902;5,932350495;1;1;0;1;?
3FC29;VISA;3,23460508;6,155422664;0,362182728;1;0;0;1;?
4025D;AMEX;2,040314452;4,750256646;6,594590695;1;0;0;1;?
403AA;AMEX;5,853458737;7,987840279;0,459242115;1;0;0;0;?
40747;DINNERS;149,7028766;2,537894954;0,314464953;1;0;0;1;?
40818;AMEX;64,4145768;2,358837402;0,790942773;1;0;0;1;?
40920;MASTER;4,553073036;0,275833476;0,556853114;1;1;0;0;?
409A6;ELO;91,60386822;0,755429196;5,060398341;1;1;0;1;?
40DBF;VISA;7,072288684;0,639052642;0,18009945;1;1;0;1;?
41BC6;AMEX;84,59765342;5,031143097;5,374801581;1;0;0;1;?
41CE3;AMEX;4,654046912;84,15844126;0,921432026;1;0;0;1;?
41E73;MASTER;10,02775093;12,4175019;7,379097318;1;1;0;1;?
41F2F;AMEX;0,375682955;3,427590851;2,483700563;0;1;0;0;?
42257;MASTER;4,711615402;0,789597646;9,080880166;1;0;0;1;?
424A6;AMEX;139,4200253;1,577636342;0,691496386;1;0;0;1;?
425BF;ELO;13,18577563;0,700928689;0,216255155;1;1;0;0;?
4271B;AMEX;20,48436508;0,208198253;32,61103886;1;0;0;1;?
42B08;AMEX;99,90976008;0,350526449;0,469204052;1;0;0;1;?
42DA7;AMEX;13,05573791;5,632184691;1,778690691;1;0;0;1;?
43243;MASTER;1182,07007;25,6589248;1,379988981;1;0;0;1;?
433FA;AMEX;0,790414761;3,352334988;4,59145833;0;0;0;1;?
43B76;VISA;8,195384344;0,412381823;2,254856083;1;1;0;1;?
43CA5;VISA;118,0349669;11,51810136;4,739289935;1;0;0;1;?
43F22;VISA;32,74017741;13,39399579;6,119978501;1;0;0;1;?
4458B;MASTER;79,70684061;0,453943883;0,5480855;1;0;1;0;?
44B70;DINNERS;3,189649239;0,15802581;0,113871936;1;0;0;1;?
44F75;MASTER;3,328380312;2,537664625;4,267433164;1;0;0;1;?
455E6;DINNERS;16,63504278;0,330179401;6,199581835;1;1;0;1;?
4594D;DINNERS;2,775668365;0,74254171;6,339541785;1;0;0;1;?
45DEA;ELO;3,926577889;3,939249377;0,160378891;1;0;0;0;?
463D7;VISA;18,21889117;20,03331666;0,435771516;1;1;0;1;?
46477;ELO;11,08515248;34,66135142;2,530758449;1;0;0;1;?
46C33;MASTER;203,7781473;0,626721944;0,796468069;1;0;0;1;?
46F9B;MASTER;42,22209601;0,557980718;2,13158228;1;0;0;1;?
471E5;DINNERS;4,52827897;11,98665883;1,261882906;1;0;0;1;?
472A4;DINNERS;2,968949198;19,28027202;8,709005898;1;1;0;1;?
47703;AMEX;17,07532392;5,661386106;1,947197639;1;1;0;0;?
479CA;VISA;167,5539364;0,092508295;0,213239339;1;0;0;1;?
47E10;DINNERS;3,58013465;73,40033311;0,229660468;1;0;0;1;?
47E78;MASTER;16,64848263;76,8867136;0,150694495;1;0;0;1;?
48974;ELO;4,057044416;2,142441467;0,368000058;1;0;0;1;?
4968C;DINNERS;23,30381608;2,771685486;0,781124826;1;1;1;1;?
49729;VISA;101,6414863;1,154381745;11,59850339;1;1;0;0;?
497DC;MASTER;68,27457225;82,42146765;2,570239198;1;0;0;1;?
498FE;MASTER;10,353495;0,104519767;0,686941801;1;0;0;1;?
49D6A;MASTER;59,54879608;0,039727778;0,086003015;1;0;0;0;?
4A5DB;VISA;2,563114392;11,78237974;0,644421408;1;0;0;1;?
4A74B;VISA;0,32536516;0,70960533;1,720483595;0;0;0;1;?
4A81A;VISA;8,19333487;8,644753511;3,143600105;1;0;0;1;?
4AE2F;VISA;147,5363437;14,07905165;2,065274179;1;0;0;1;?
4B035;MASTER;0,980343113;2,434947322;8,510325872;0;1;0;1;?
4B24D;ELO;97,59869964;1,229758522;0,088894716;1;0;0;0;?
4B3AF;DINNERS;19,25662482;0,07147927;5,426244845;1;0;0;1;?
4B56C;MASTER;112,2738759;1,193257494;1,989151497;1;1;0;1;?
4B914;VISA;0,879874763;1,381682409;5,375340698;0;1;0;1;?
4BD37;MASTER;3,161798652;3,805775971;6,810661323;1;1;0;1;?
4BD43;VISA;1,340369821;0,295635723;1,186698524;0;1;1;0;?
4BE5B;ELO;4,888331319;1,012814603;5,10343096;1;1;0;1;?
4C18A;DINNERS;11,36325113;0,476903078;1,384801175;1;0;0;0;?
4C648;VISA;102,2645738;25,87919442;0,888549087;1;0;0;1;?
4CB4C;VISA;5,72815739;0,046932471;4,305481545;1;0;0;1;?
4CC05;MASTER;15,84021329;0,494704792;0,1260897;1;1;0;1;?
4D4C4;DINNERS;109,5283476;0,804633412;2,469829507;1;1;0;0;?
4D697;ELO;19,25624979;108,4930625;1,015924523;1;0;0;0;?
4D6D6;DINNERS;4,496205598;2,915621758;4,81028765;1;0;0;1;?
4D9C1;MASTER;19,30101261;1,487343313;1,592103849;1;0;0;1;?
4DACF;ELO;3,688139176;1,953477155;0,568458232;1;1;0;1;?
4DD9C;DINNERS;47,70283885;4,769036404;9,598499499;1;0;0;1;?
4E29E;MASTER;6,430639905;0,363905202;1,159076682;1;0;0;1;?
4E631;VISA;9,003993927;0,4092207;4,927425082;1;0;0;1;?
4E768;DINNERS;14,25156458;0,090404982;6,751264054;1;0;0;1;?
4E7B9;MASTER;17,03664884;1,476279365;0,870256209;1;0;0;1;?
4E848;AMEX;60,14331515;0,202790193;4,052845696;1;0;0;1;?
4E909;AMEX;1,268864233;1,048643818;7,496695895;0;0;0;0;?
4E9B2;MASTER;218,9872654;1,813152302;0,681673155;1;0;0;1;?
4E9E7;VISA;9,807804886;10,68257252;0,261120966;1;0;0;1;?
4EB14;MASTER;26,50178133;0,313703759;4,888718789;1;0;0;1;?
4EBA6;AMEX;3,250048761;1,261072785;0,508139333;1;1;0;0;?
4ECD9;MASTER;14,87659355;6,391137988;7,077303615;1;0;0;1;?
4ED6B;VISA;2,903727885;0,011493689;0,156474006;1;0;0;0;?
4F816;VISA;0,453406109;0,037135067;12,17800093;0;1;0;0;?
4FBB8;ELO;5,867706833;3,506005941;0,642337562;1;1;1;1;?
4FBFC;DINNERS;0,978537218;2,864197824;3,262479917;0;0;0;0;?
4FEDD;VISA;58,35907528;210,755452;1,778182535;1;0;0;1;?
50238;MASTER;3,166302154;0,058822231;4,30814505;1;0;0;1;?
50528;AMEX;2,824363477;2,385967643;1,032676175;1;0;0;1;?
50833;VISA;102,7313738;1,313553158;0,086956895;1;0;0;1;?
50848;ELO;23,02412945;0,025059476;0,300026142;1;1;0;1;?
50CF4;AMEX;17,6624673;0,417630562;1,27895165;1;0;0;1;?
50D6F;VISA;1,035586773;0,291383331;0,46812268;0;0;0;1;?
514A6;ELO;1,315307739;1,467216046;4,904678421;0;1;0;1;?
5189C;DINNERS;5,148886062;0,70210974;2,213030469;1;1;0;1;?
518F1;ELO;35,28895021;6,175397961;0,189066484;1;1;0;1;?
51A74;MASTER;1,753527822;3,749889667;1,143069032;0;0;0;1;?
5254C;MASTER;42,13340265;0,450520688;12,88654282;1;0;0;1;?
52B71;ELO;0,649472964;1,798642852;15,47602062;0;0;0;1;?
530D2;MASTER;15,23536146;0,300208725;0,464272768;1;0;0;0;?
5336A;MASTER;1,606410805;0,860033993;0,066442842;0;1;0;1;?
5388E;ELO;13,38437929;2,6941295;0,301786948;1;0;0;1;?
53D45;MASTER;4,568948196;112,8952587;4,954964064;1;1;0;1;?
5402E;ELO;5,801096816;0,274956554;9,421236722;1;0;0;1;?
54AB7;AMEX;20,75913622;0,464755796;4,689781676;1;0;0;1;?
54E32;ELO;291,5045071;0,042311696;0,534282818;1;0;0;1;?
5504D;VISA;1,52365906;0,484768518;1,744873048;0;0;1;1;?
55050;DINNERS;8,948874101;0,592979579;1,55464715;1;0;0;0;?
55224;DINNERS;5,350240329;2,748817694;0,157667427;1;1;0;0;?
553D6;ELO;9,606312832;0,270258521;7,342537634;1;0;0;1;?
557DD;AMEX;274,9009243;1,78121955;0,626003455;1;0;0;1;?
55A33;MASTER;10,01539034;0,296716494;8,927112005;1;0;0;1;?
56002;DINNERS;57,87785658;0,311140008;1,945939978;1;1;0;0;?
56108;VISA;9,087054298;1,586395988;4,709665271;1;0;0;1;?
562A0;MASTER;8,197850311;6,527853581;4,081042894;1;1;0;1;?
5681D;ELO;5,341433867;1,482570199;4,437604776;1;1;0;1;?
56B1D;DINNERS;181,87772;0,535605252;0,965591143;1;0;0;1;?
56C1A;ELO;0,470222118;2,199012832;0,398893191;0;0;0;1;?
570CC;VISA;55,46476762;7,312226306;1,351961052;1;0;0;1;?
572A0;VISA;8,175497382;7,913083287;3,705153518;1;1;0;0;?
5817D;ELO;334,6202891;0,88282353;1,21383681;1;0;0;1;?
58266;VISA;91,43465105;0,041362221;0,186367278;1;0;1;1;?
58667;DINNERS;182,8617806;4,607446941;0,774545418;1;0;0;0;?
58833;MASTER;125,7775709;3,150629035;0,574290119;1;0;0;1;?
5889D;MASTER;65,4780752;0,068807645;5,302591692;1;0;0;1;?
58F18;MASTER;57,42422511;1,913080706;0,412949282;1;0;0;1;?
5907B;AMEX;53,74719241;0,239465935;1,464393971;1;1;0;1;?
590E4;VISA;22,0391355;10,46269754;6,333365441;1;1;0;1;?
5943F;ELO;27,10670854;0,405264379;4,769496939;1;0;0;1;?
59DF5;ELO;2,590785891;10,16549721;3,105453566;1;0;1;1;?
5A129;AMEX;0,431808673;57,25017359;0,283122591;0;0;0;1;?
5A84D;AMEX;26,33657615;113,8970162;0,759076178;1;0;0;1;?
5A979;ELO;7,829035822;75,48496346;1,490234997;1;0;0;1;?
5A9DF;MASTER;58,73790271;19,73190204;0,054064969;1;0;0;1;?
5AE7A;DINNERS;84,69070586;0,960240832;2,738579525;1;0;0;1;?
5B133;ELO;2,237794132;3,368231609;2,879197245;1;0;0;1;?
5B590;ELO;2,961668833;0,836398805;2,355077471;1;0;0;0;?
5C594;AMEX;6,80880033;2,805376548;1,638823299;1;0;0;0;?
5C6CB;DINNERS;1,07466371;7,004153765;4,100179474;0;1;0;1;?
5CDDC;DINNERS;11,18742022;7,290403745;0,688782924;1;0;1;1;?
5D231;MASTER;157,9897061;0,008546088;0,443683926;1;0;0;1;?
5D3A9;DINNERS;35,08618619;0,467856287;7,213496314;1;1;0;1;?
5D550;AMEX;330,3410747;5,903091822;2,98728987;1;0;0;1;?
5DABF;MASTER;3,311738273;0,142076854;2,198426993;1;0;0;0;?
5E193;MASTER;7,543610666;2,071702795;5,377500887;1;0;0;1;?
5E47A;VISA;20,92276085;0,945770298;28,26484497;1;0;0;1;?
5EDE1;VISA;12,39780505;7,300904925;8,433400817;1;1;0;1;?
5EF04;AMEX;8,958840997;0,425875636;1,005078936;1;0;0;0;?
5F69D;MASTER;3,92221196;4,82209148;0,703770448;1;0;0;0;?
5FAF6;MASTER;6,111096784;0,955214412;1,783102218;1;0;0;0;?
5FB23;VISA;11,53418243;0,90770109;6,371834016;1;0;0;1;?
5FC25;MASTER;22,84200228;2,490806248;0,135332933;1;1;0;1;?
5FEF1;AMEX;120,2159372;0,173280959;1,374861738;1;0;0;1;?
5FEF2;VISA;6,702776399;1,505302243;0,699937489;1;1;0;1;?
5FFD4;ELO;1,349407124;1,890154032;5,319205749;0;0;0;0;?
60761;ELO;44,70397868;0,889242168;1,809730555;1;1;0;0;?
6085D;MASTER;126,1072149;2,099057796;0,275039545;1;0;0;1;?
608FA;ELO;124,6401182;0,004416071;0,434884905;1;0;0;1;?
6094E;VISA;5,333112858;0,601494167;5,497563519;1;0;0;1;?
61177;VISA;15,61301918;0,995150839;0,94487068;1;1;0;1;?
611A3;ELO;7,741490804;1,572492494;0,621766728;1;0;0;1;?
