Identificador da transação;Bandeira do Cartão;Distância de Casa;Distância da Última Transação;Razão entre o valor da compra e o valor médio;Local Repetido;Usou Chip;Usou Senha;Online;Fraude
611BF;DINNERS;25,30656305;1,596555427;5,457892518;1;0;0;1;?
61308;AMEX;19,48272009;2,315738611;1,132342271;1;0;1;1;?
6167A;DINNERS;27,29664618;4,297156511;2,521240793;1;0;0;0;?
61709;DINNERS;3,376971793;0,03714417;7,054688349;1;0;0;1;?
619C0;DINNERS;10,37577371;0,868259741;7,772093504;1;1;0;1;?
61BB8;DINNERS;2,977050956;0,148237443;6,046145434;1;1;0;1;?
61D56;VISA;2,752206096;0,727363925;1,385929204;1;0;0;1;?
626C6;ELO;2,508855399;0,26666594;2,931652681;1;0;0;1;?
63026;DINNERS;5,609998089;0,137513186;0,761233849;1;0;0;1;?
630AF;AMEX;40,18809394;2,153282179;126,7137012;1;1;0;1;?
63A88;DINNERS;52,94509437;0,563890644;11,76397192;1;0;0;1;?
63B98;ELO;33,23522986;275,053705;9,594263288;1;1;0;1;?
63CE3;AMEX;2,476404337;0,176130767;3,325585605;1;0;0;1;?
64247;MASTER;44,27133401;0,174185845;39,1351867;1;1;0;1;?
64E49;MASTER;82,93657456;13,8396721;6,448879869;1;0;0;1;?
64E68;MASTER;5,989855512;77,45288034;1,964951012;1;0;0;1;?
6525C;DINNERS;19,15304171;0,403532741;1,111563023;1;0;1;1;?
652E7;AMEX;25,45122598;0,350461437;0,193075043;1;1;0;0;?
65325;ELO;8,011102333;0,112232405;4,427352063;1;1;0;1;?
65B2D;DINNERS;7,420485013;11,58954932;1,493101811;1;1;0;1;?
65DDA;MASTER;1,317222949;0,650843662;1,186827895;0;0;0;1;?
65E1D;MASTER;23,90103784;1,440185365;3,252790937;1;0;0;1;?
662BA;MASTER;34,9516745;2,40893317;2,078656443;1;1;0;1;?
673EB;ELO;211,5002842;2,111634308;1,862037194;1;0;0;1;?
6754C;DINNERS;4,599180149;2,406847621;6,675494039;1;0;0;1;?
67810;ELO;1,06358891;0,074370855;4,339363516;0;0;0;1;?
679CC;DINNERS;1,712193488;2,351497708;0,534163286;0;0;0;1;?
67CE8;VISA;6,732467607;94,05596866;7,71203319;1;0;1;1;?
67FC3;AMEX;45,03173587;0,055076966;1,312067426;1;0;0;1;?
680CF;MASTER;32,28174878;1,192121094;0,394434318;1;1;0;1;?
68B30;AMEX;14,68570343;3,392571849;1,082989046;1;1;0;1;?
68BA0;VISA;6,244341386;1,87001601;1,391945318;1;0;0;1;?
68CE6;VISA;1,574525423;10,27062474;0,067868145;0;0;0;1;?
68E1A;MASTER;8,978287675;0,252036642;2,434122226;1;1;0;1;?
69117;ELO;20,34860078;0,483881752;5,431148365;1;0;0;1;?
697C5;AMEX;15,64944025;4,262598931;2,490477043;1;0;0;0;?
69935;DINNERS;37,38864984;0,30681965;0,27899426;1;0;0;0;?
69A8F;VISA;18,76039581;3,854268385;16,98420717;1;0;0;1;?
69EE5;AMEX;2,752767007;11,34231958;0,664328708;1;0;0;0;?
6A76A;AMEX;6,841207405;0,222439849;0,835550838;1;0;0;1;?
6B016;DINNERS;3,448570109;0,386173949;0,935690362;1;0;0;0;?
6B26D;DINNERS;457,4001518;5,797694447;0,75142909;1;0;0;1;?
6B397;VISA;47,18514702;0,201753769;17,25043798;1;0;0;1;?
6B411;MASTER;100,6129191;1,016710114;10,04598128;1;0;0;1;?
6B500;VISA;765,2825593;0,371561962;0,551244748;1;1;0;0;?
6B642;VISA;3,686197718;0,910156022;0,328611353;1;0;1;0;?
6B931;ELO;12,44001922;8,726477453;2,738452129;1;1;0;1;?
6B9C6;AMEX;10,73295153;1,569238967;0,169183468;1;1;0;1;?
6BA35;ELO;23,16885906;1,565111288;1,567199056;1;1;0;0;?
6BBA3;MASTER;2,763951594;0,390094288;0,615175706;1;0;1;1;?
6C53C;VISA;3,672459328;0,325990813;0,483854086;1;0;0;1;?
6C7E3;MASTER;11,00567019;0,053507064;0,802154079;1;0;0;0;?
6D127;ELO;11,54351646;0,409373378;1,578751382;1;0;0;1;?
6D158;ELO;1,798638162;2,523292016;4,269118644;0;0;0;1;?
6D2A9;DINNERS;152,3729662;4,264921009;3,885187005;1;0;0;1;?
6D357;MASTER;5,661214037;0,597677517;0,584116328;1;0;0;1;?
6E0F3;DINNERS;13,51607085;2,178774365;1,361951192;1;0;0;1;?
6E144;ELO;1,018135226;0,708260375;0,908898114;0;1;0;1;?
6E355;VISA;10,7807481;0,224876748;1,358782362;1;0;0;1;?
6E419;VISA;25,88925532;0,664164009;0,159516642;1;1;0;0;?
6EBF0;ELO;6,752360998;0,16841872;6,318050485;1;0;0;1;?
6ECB2;AMEX;8,602004068;1,203980138;3,914198062;1;1;0;0;?
6F0EE;DINNERS;39,66361089;4,198774256;5,843014674;1;0;0;1;?
6F30F;MASTER;73,08987812;1,445277367;2,283660125;1;0;0;1;?
6F543;VISA;16,40386759;1,090877124;4,775111031;1;1;0;1;?
6F59B;DINNERS;32,78871487;0,04062479;0,467258095;1;1;0;0;?
6F937;ELO;1,668710391;0,49608083;0,327632933;0;0;0;1;?
6FCA9;VISA;24,46517576;9,698102262;0,651264437;1;0;0;1;?
70645;VISA;2,798045965;0,486248903;2,353046595;1;1;0;1;?
7065F;DINNERS;239,1636401;0,112301289;0,34544073;1;0;0;1;?
7066E;MASTER;20,39090954;3,471440186;2,174161764;1;0;0;1;?
70886;VISA;5,482982322;3,501975947;1,986467254;1;0;0;0;?
70901;AMEX;20,29772898;2,079765216;7,438926599;1;0;0;1;?
70E92;VISA;7,29652776;1,154785802;1,023310655;1;0;0;1;?
711FD;DINNERS;6,70558783;57,01268881;1,609339252;1;0;0;1;?
7129F;ELO;12,88841173;0,551309048;0,386037724;1;0;1;1;?
71C76;DINNERS;21,59121556;0,061048013;0,927828373;1;0;1;0;?
71DDA;MASTER;74,79093363;5,319624788;0,998868122;1;1;0;0;?
71F2F;ELO;13,27935467;2,091676353;2,324036923;1;0;0;1;?
72067;AMEX;27,36320524;1,510587227;0,022516055;1;0;0;1;?
738E4;ELO;2,232716458;2,276456168;0,934322365;1;1;0;0;?
742EA;AMEX;179,0151863;11,15348198;1,822759364;1;0;0;1;?
745C5;DINNERS;129,8817768;0,100743529;0,238114078;1;0;0;1;?
7477D;MASTER;8,047301791;4,168764417;0,250209166;1;1;0;0;?
74969;AMEX;0,670833527;3,145657457;12,80081155;0;1;0;1;?
75642;ELO;14,36088025;1,512058801;0,217230796;1;0;0;1;?
75880;MASTER;2,447687958;11,31036588;4,936843205;1;1;0;1;?
76437;AMEX;85,83725334;1,035117876;0,868295614;1;1;0;1;?
76550;MASTER;39,23810339;1,416808814;7,147475389;1;0;0;1;?
765F5;DINNERS;13,71675325;4,387919479;0,454309226;1;1;0;1;?
766E7;DINNERS;194,5268521;0,89894794;0,840496757;1;0;0;1;?
7737D;DINNERS;105,0622086;0,34150793;2,930706163;1;0;0;1;?
780C2;ELO;12,51140362;1,24210644;0,262219759;1;0;1;1;?
781BF;VISA;14,83170612;3,124480254;0,645913152;1;1;1;0;?
7848F;DINNERS;4,791895914;6,910826094;6,013008291;1;0;0;1;?
789C8;VISA;6,186451094;0,097030717;9,739236886;1;0;0;1;?
79901;AMEX;205,4150143;13,98751298;3,020193779;1;0;0;1;?
79CF0;MASTER;5,154328337;0,01150284;1,317723796;1;1;0;1;?
7A0B3;ELO;2,913940789;279,2945611;4,172016085;1;0;0;0;?
7A14F;VISA;9,186804176;0,473845626;8,153345535;1;0;0;1;?
7A237;ELO;179,6651477;0,120919638;0,535640483;1;1;1;1;?
7A82D;ELO;1,900980271;1,871035586;4,116683495;1;1;0;1;?
7A9B2;ELO;10,03780621;13,04938534;4,09394036;1;1;0;1;?
7ABD1;VISA;13,62746831;0,231878478;9,100879015;1;0;0;1;?
7ADF8;ELO;12,25818225;0,727129781;5,811166836;1;0;0;1;?
7B06F;ELO;1,281423291;1,853014823;1,924057623;0;0;0;1;?
7B4CC;VISA;75,76877424;150,6054383;5,27393663;1;0;0;1;?
7B56F;MASTER;254,5857523;1,774457762;0,208592759;1;0;0;1;?
7B6B1;ELO;233,9052349;32,24883284;0,102661187;1;0;0;1;?
7BFA0;MASTER;2,308625001;0,588277642;5,003781944;1;0;0;1;?
7C764;AMEX;5,466383875;0,158848609;0,806384612;1;1;0;1;?
7C7E4;MASTER;13,38435109;5,002755317;0,988471022;1;0;0;0;?
7CA29;DINNERS;21,01280406;0,143909253;4,78575035;1;1;0;1;?
7CC2B;VISA;49,72522738;0,191538878;1,537185944;1;0;0;0;?
7CDAB;ELO;3,349471197;68,14004976;0,090062932;1;0;0;1;?
7CDDE;MASTER;61,20463237;3,510299444;7,092921258;1;1;0;1;?
7CF9B;MASTER;5,211159233;23,2624262;0,227790071;1;0;1;0;?
7D538;MASTER;40,35160129;0,27860288;0,94784289;1;0;0;1;?
7DA06;MASTER;124,5189425;26,00647655;0,246626004;1;0;0;1;?
7E3EF;VISA;132,6054629;3,080705123;1,426336221;1;0;0;1;?
7EEF2;DINNERS;33,90884897;1,409759249;1,287555385;1;0;0;1;?
7EF21;VISA;2,167404452;6,95237759;4,345911078;1;1;0;1;?
7F1BE;AMEX;333,3832257;0,467235362;1,099524069;1;0;0;1;?
7F3FC;AMEX;23,25184916;0,449802722;4,980789471;1;0;0;1;?
7F80A;MASTER;384,1369125;0,650738486;0,72749882;1;0;0;1;?
7FAE8;ELO;4,888104359;2,585090012;5,196157413;1;0;0;1;?
80196;ELO;7,553377221;0,043266138;1,265741446;1;1;0;1;?
803F7;ELO;18,22039234;6,885983629;0,302610409;1;0;0;1;?
804B6;DINNERS;4,387200214;8,205292107;7,558445291;1;0;0;1;?
805EF;ELO;20,45690007;2,978920956;5,027593786;1;0;0;1;?
80B2D;MASTER;1,77901121;4,610235189;9,153013092;0;0;0;0;?
80C3F;DINNERS;18,71522882;0,638486633;10,45379743;1;1;0;1;?
80DF2;AMEX;136,1270749;0,356025756;0,438928232;1;0;0;1;?
80E0C;DINNERS;4,988827956;0,520037048;1,182118376;1;1;0;1;?
81941;VISA;1,738038004;0,134839297;10,11740836;0;1;0;1;?
819FA;ELO;2,251158877;63,52743594;1,3360705;1;0;0;1;?
819FB;VISA;5,951736028;0,420614587;4,041611302;1;1;0;1;?
82F21;MASTER;1,568072283;0,112351455;5,779513387;0;1;0;1;?
82F9D;DINNERS;17,74437222;5,700212975;16,43692498;1;0;0;1;?
8302B;ELO;154,8426654;4,911872605;0,04666921;1;0;0;1;?
8315F;ELO;3,228764595;0,802423978;2,537282841;1;0;0;1;?
83936;ELO;8,502471349;0,04330909;4,562884798;1;0;0;1;?
83A96;ELO;14,08966417;0,17096019;1,02550093;1;0;0;1;?
83ABE;MASTER;18,14043434;1,382013014;6,36329092;1;0;0;1;?
83E63;DINNERS;11,20991364;0,447095329;8,632274581;1;0;0;1;?
83EC5;AMEX;10,53806364;0,113248293;1,428239371;1;0;1;1;?
83EC9;MASTER;18,4930698;1,181664998;4,4366884;1;0;0;1;?
8433D;VISA;12,65038143;1,141399578;13,13960856;1;0;0;1;?
8471E;DINNERS;3,49661569;2,159226207;3,831575774;1;0;0;1;?
8478D;MASTER;3,121425289;3,883070503;4,101901291;1;0;0;1;?
84B67;ELO;16,46490732;1,715182676;12,75398536;1;1;0;1;?
85147;DINNERS;119,5770805;0,215457362;0,254657928;1;0;0;1;?
852DD;ELO;37,61362674;0,093308697;2,336528213;1;0;0;0;?
852DF;VISA;1,25922676;2,973198573;0,171278636;0;0;1;1;?
8541F;VISA;26,44141334;0,405134187;7,397732553;1;0;0;1;?
856CB;MASTER;9,487535916;0,706679434;4,08700757;1;0;0;1;?
856F1;MASTER;52,16003042;0,35272185;0,498351191;1;0;1;0;?
85840;ELO;1,037768589;2,284833056;4,192955582;0;1;0;1;?
858F6;ELO;1,532551088;3,097159488;0,397260475;0;1;0;0;?
85AA2;AMEX;9,562434147;21,38248237;0,570319282;1;1;0;1;?
85ADF;DINNERS;5,00978918;0,430955564;0,902432224;1;0;0;1;?0
86215;MASTER;25,10238685;0,123987651;7,098984172;1;1;0;1;?
862D9;VISA;37,66819348;0,094521367;0,537935609;1;1;0;1;?
864A1;ELO;0,963729811;3,31894145;15,12203252;0;1;0;1;?
8687F;AMEX;6,190879526;1,699127283;0,846402;1;0;0;0;?
869C3;AMEX;2,810444532;0,851268845;0,673136876;1;0;1;0;?
86A71;VISA;2,148084811;0,416398204;1,037428065;1;1;1;0;?
86BDE;DINNERS;22,20724703;0,109757283;30,11608975;1;0;0;1;?
86D4C;VISA;38,17222086;1,773465921;6,656979397;1;0;0;1;?
86F50;MASTER;8,386406175;1,815767602;6,200326301;1;0;0;0;?
8755D;VISA;241,1438741;0,230956534;0,262345507;1;0;0;1;?
878B2;AMEX;7,201296121;56,54580063;9,420977799;1;0;0;1;?
87E11;VISA;26,75646605;1,490117321;2,404669967;1;0;1;1;?
881AF;VISA;4,586563849;3,365070203;2,454287777;1;0;0;0;?
884A2;DINNERS;4,426862416;5,144466644;2,323604269;1;0;0;1;?
88815;ELO;33,17773959;0,618239175;4,444227604;1;1;0;1;?
88943;AMEX;12,01108295;0,314133425;0,798424737;1;0;1;1;?
88A0D;DINNERS;5,468521612;4,416113925;6,768148533;1;0;0;1;?
88BB1;DINNERS;5,574470493;0,782367508;0,566961981;1;0;1;0;?
88C4B;VISA;5,169928151;0,534060347;1,348865996;1;1;1;1;?
88C59;ELO;6,290573076;0,778889762;5,474956171;1;1;0;1;?
88DB3;MASTER;9,569161589;0,86576191;0,891635287;1;0;0;1;?
892BD;MASTER;8,445052727;0,829382663;6,103373557;1;1;0;1;?
89492;ELO;120,4264881;1,812253113;11,23771105;1;1;0;1;?
896C5;VISA;22,26861188;5,578828505;4,312029572;1;1;0;1;?
89D5D;ELO;1,832542599;0,978430956;1,428365523;0;0;0;1;?
8A06C;ELO;6,468242515;5,855180877;5,873673588;1;0;0;1;?
8A5F4;VISA;2,764392788;0,003199164;1,300072363;1;1;0;1;?
8A8CC;VISA;3,224405387;2,635070444;2,059972582;1;0;0;0;?
8A9FF;MASTER;23,93855032;1,602502242;0,403988258;1;1;0;0;?
8AC95;VISA;2,280288781;0,482250728;4,870485077;1;0;0;1;?
8AFCF;DINNERS;25,4087344;249,6246749;2,749229291;1;0;0;1;?
8AFDB;DINNERS;3,189495854;2,776038089;5,485526679;1;0;0;1;?
8B2A9;VISA;4,373984201;2,072837325;4,087609126;1;1;0;1;?
8B3F0;AMEX;31,09332842;0,118557084;0,890572238;1;0;0;1;?
8B717;ELO;19,9631446;0,676193316;4,429922126;1;0;0;1;?
8BB14;ELO;3,231364763;0,397285282;2,095418743;1;0;0;1;?
8BB15;MASTER;20,63645258;0,269351436;1,140022568;1;0;0;0;?
8C407;VISA;6,020396851;1,176493722;14,17515729;1;0;1;0;?
8C877;VISA;5,168708301;0,700186399;0,746127644;1;0;0;1;?
8CDD4;VISA;11,05075252;52,04358395;3,661978983;1;0;0;1;?
8CED5;DINNERS;1,77272371;0,27770273;13,38502084;0;1;0;1;?
8D0C6;ELO;108,4170087;0,275988496;4,485394798;1;0;0;1;?
8D5A5;ELO;44,36817792;0,471196524;0,702188853;1;0;0;1;?
8DD52;AMEX;8,633030471;3,034760174;1,197518466;1;1;0;0;?
8ED81;AMEX;29,40307018;13,85829815;0,222316155;1;1;0;0;?
8F429;ELO;32,7561664;0,866698507;0,715640274;1;0;0;1;?
8F851;AMEX;93,06003428;1,092495766;4,075766414;1;1;0;1;?
8FF15;MASTER;34,39289258;0,03348964;0,292744632;1;0;0;1;?
90135;ELO;228,3611823;3,521575931;0,197207455;1;0;0;1;?
90284;DINNERS;4,901563645;3,772676408;0,577846439;1;1;0;0;?
90412;ELO;3,636837114;1,125220909;4,566844977;1;0;0;1;?
9075D;DINNERS;37,48527044;0,034606359;8,889221489;1;0;0;1;?
91106;ELO;155,7882088;45,87606505;0,334180559;1;0;0;1;?
919D9;ELO;8,826660759;0,61042141;3,998766987;1;1;0;1;?
91D70;VISA;5,57697548;0,163077867;1,716449255;1;1;0;1;?
91EDA;DINNERS;5,767567057;2,383673651;0,334486399;1;1;0;1;?
9247A;MASTER;13,47965093;1,185656893;4,233780028;1;1;0;1;?
92882;AMEX;4,410140041;28,80412759;6,613045165;1;0;0;1;?
9294E;AMEX;12,21675585;1,190835691;6,898061366;1;1;0;1;?
9317D;MASTER;21,28517634;0,135633603;0,583676981;1;1;0;1;?
93A76;ELO;0,898862879;1,523082302;6,358782893;0;1;0;1;?
93C67;MASTER;3,117338549;1,347376515;1,495590344;1;0;0;1;?
93CD8;ELO;23,97508626;2,469325326;1,186992199;1;0;1;1;?
93E1E;AMEX;13,66386708;1,604904179;4,807592832;1;0;0;1;?
93EF4;DINNERS;36,52520516;3,640865289;0,767763481;1;1;0;0;?
94431;ELO;18,90578718;0,673784379;5,51904233;1;1;0;1;?
94A53;DINNERS;15,72479927;1,875906117;11,00936568;1;1;0;1;?
94B7A;DINNERS;2,733860736;1,97602419;0,520279834;1;0;0;0;?
94F5A;VISA;136,3588388;17,46417177;1,17160619;1;0;0;1;?
951F1;AMEX;8,44251896;0,247654512;0,962410516;1;1;0;1;?
95C73;DINNERS;10,72515366;0,043665533;4,142037415;1;1;0;1;?
963E6;VISA;2,722967135;0,513326478;9,628794292;1;0;0;1;?
9678F;DINNERS;73,46682948;1,710467924;0,059740954;1;0;0;0;?
969D9;MASTER;242,9131874;4,424775816;0,741428259;1;0;0;0;?
969FF;VISA;6,194670766;1,142014236;0,307216609;1;0;0;0;?
96D6E;MASTER;7,847589177;2,59452889;10,66709819;1;1;0;1;?
96E13;VISA;8,449343561;0,381385533;4,091935717;1;0;0;1;?
9730C;AMEX;6,66516557;1,603089526;1,957912267;1;0;0;1;?
975EC;DINNERS;1,339466075;1,328114518;6,002847537;0;0;0;1;?
979F4;AMEX;3,501877978;3,175596154;1,363314101;1;0;1;0;?
97B19;MASTER;8,084177483;0,138202806;0,378661235;1;0;1;0;?
97B86;ELO;1,620860028;0,710191501;1,632393327;0;0;0;1;?
9839E;VISA;15,56570018;2,312278046;1,824021585;1;1;0;1;?
98531;VISA;1,821700709;0,633544049;3,130279023;0;0;0;1;?
9875C;MASTER;1,695050441;0,069200876;0,185286171;0;0;0;0;?
98F43;ELO;17,60088094;0,607649857;0,839763117;1;0;0;1;?
9941D;VISA;5,283149753;10,12880601;3,364778979;1;0;0;1;?
99814;MASTER;37,8771763;0,025445713;4,418867647;1;1;0;1;?
9A166;DINNERS;0,563988115;2,81914841;4,864327317;0;0;0;0;?
9A16B;VISA;51,41289995;3,429329906;29,91425392;1;0;0;1;?
9A2B2;MASTER;3,729806762;8,616213323;4,00648001;1;1;0;1;?
9A720;MASTER;2,750666521;0,422404731;1,74929194;1;0;0;1;?
9A8FF;VISA;0,932351418;0,071302492;0,303399392;0;0;0;0;?
9ADE6;AMEX;8,861099711;85,62756677;5,528836019;1;1;0;1;?
9AEE0;VISA;8,713401931;0,347350655;4,667221369;1;0;0;1;?
9AEFE;ELO;811,4481874;0,389193357;0,205420147;1;0;0;1;?
9AF8E;MASTER;0,847759459;3,31403139;0,475497212;0;1;0;0;?
9B074;VISA;3,216044756;17,14473592;1,788833243;1;1;0;1;?
9B61D;MASTER;61,05019647;0,201310259;5,844950634;1;0;0;1;?
9B9CA;AMEX;14,12790501;5,862020928;0,292773048;1;1;0;1;?
9C77F;VISA;0,475513405;72,12369294;0,890411642;0;0;0;1;?
9C82A;VISA;31,89235267;0,120352361;0,348585634;1;0;0;1;?
9CEB0;VISA;1,065103068;3,233769352;1,876446518;0;0;0;0;?
9D0F0;MASTER;7,60082246;1,23279071;1,449561027;1;0;0;0;?
9D6B0;DINNERS;63,03637338;0,105528246;4,198796651;1;0;0;1;?
9D732;AMEX;140,2678012;0,639275457;1,086451825;1;0;0;1;?
9DE1E;VISA;12,76621731;23,44005736;2,748127678;1;0;0;0;?
9DF2D;VISA;158,9936192;1,308535052;1,839629092;1;0;0;1;?
9DFA0;MASTER;109,7021526;0,234008129;5,710197509;1;0;0;1;?
9E066;MASTER;15,69330306;4,177117;0,331321954;1;0;0;1;?
9E5E8;AMEX;12,24564033;0,22650112;0,993680165;1;0;0;1;?
9E697;DINNERS;3,345279485;7,803402947;4,729731132;1;1;0;1;?
9EFF2;DINNERS;50,59753673;0,457618786;4,159322335;1;0;0;1;?
9F029;DINNERS;32,70770243;7,480809467;5,497210311;1;1;0;1;?
9F60B;DINNERS;45,8151712;0,227493977;0,713608022;1;0;0;1;?
9F6AD;ELO;6,031492098;0,346467284;4,542608551;1;0;0;1;?
9F820;VISA;2,745454288;0,377066263;5,540656345;1;0;0;1;?
9F8E5;VISA;21,37741932;0,408323947;0,190822942;1;1;0;1;?
A0324;ELO;573,9710067;0,061583892;0,522875934;1;0;0;1;?
A0CFE;VISA;1,744965145;0,130406905;8,147968831;0;0;0;0;?
A10F9;AMEX;1,656501078;1,271706818;6,948867857;0;0;0;1;?
A1156;DINNERS;28,90062649;0,028615121;0,304719488;1;0;1;0;?
A11DD;VISA;2,65443319;0,233691766;5,39335529;1;0;0;1;?
A1867;DINNERS;13,95597237;0,271521528;2,798901125;1;0;0;1;?
A192C;MASTER;5,376921586;0,210356371;0,808983053;1;1;0;0;?
A19F5;VISA;6,738288996;0,563817443;1,803965207;1;0;0;1;?
A23D8;AMEX;2,259733912;0,701442689;1,88202689;1;0;0;1;?
A24E2;MASTER;3,145401806;113,9486025;6,930096377;1;0;0;0;?
A24F7;ELO;12,51099132;0,373076633;8,712512868;1;0;0;1;?
A2804;DINNERS;168,3831034;0,634306925;1,48459128;1;0;0;1;?
A2896;AMEX;19,30371622;0,664108066;0,673727244;1;0;0;1;?
A2CF2;ELO;249,4365575;10,9897574;10,7201227;1;0;0;0;?
A3A8F;MASTER;83,19190905;0,974245099;2,204589077;1;1;0;1;?
A3C57;VISA;47,31394625;6,192771366;0,623550243;1;1;0;0;?
A3DE4;AMEX;120,7084531;0,052452328;0,388831256;1;0;0;1;?
A3EF5;MASTER;13,16729033;6,011046021;0,809496888;1;1;0;1;?
A3F11;ELO;46,55429557;2,591477634;3,242943884;1;1;0;0;?
A4087;MASTER;8,154231197;0,137577033;0,712067772;1;0;0;1;?
A4472;MASTER;8,887529672;0,70436696;1,986620557;1;1;0;1;?
A4899;AMEX;136,3940947;0,166769906;0,048525671;1;0;0;1;?
A48F4;AMEX;56,59109468;0,718385891;0,736883111;1;0;0;1;?
A4ED5;VISA;1,818318848;9,376789376;1,239807627;0;0;0;1;?
A56A5;DINNERS;521,424992;0,306265065;26,25834046;1;0;0;1;?
A5BF7;AMEX;33,00326093;1,502598047;0,616965237;1;1;0;0;?
A6879;AMEX;9,101395309;1,498959758;11,32485885;1;0;0;1;?
A6922;MASTER;1,409909359;0,098282541;4,16335382;0;1;0;1;?
A69CC;VISA;30,78969336;0,073989371;1,354420631;1;0;1;1;?
A6DCF;AMEX;12,0369247;0,134304935;1,227404607;1;0;0;1;?
A7539;DINNERS;14,38568479;2,233618973;8,767339604;1;0;0;1;?
A762D;ELO;152,3554104;0,047892738;0,292119466;1;0;0;1;?
A79BA;VISA;3,752089217;0,016283998;1,121408685;1;0;0;0;?
A7C79;ELO;104,2385427;6,346917105;7,310493517;1;0;0;1;?
A845A;AMEX;2,997090112;0,628239524;13,8954779;1;0;0;1;?
A85FF;MASTER;15,01904264;0,023864308;0,503276158;1;0;0;0;?
A895A;ELO;92,00940533;2,252856297;1,864322381;1;0;0;1;?
A8D70;VISA;6,266875949;0,630584062;1,564972992;1;0;0;0;?
A8E26;MASTER;17,04338443;0,328273383;0,347203876;1;0;0;1;?
A8FD1;ELO;63,58299864;0,335557582;0,898347776;1;0;0;1;?
A91F4;MASTER;17,34151194;1,030454191;2,370736049;1;0;0;0;?
A9348;VISA;58,97661094;9,002463448;0,330141362;1;0;0;1;?
A93D9;DINNERS;106,3306889;0,819417011;0,750926081;1;0;0;1;?
A94D8;AMEX;159,6924114;0,462648675;5,483238922;1;1;0;1;?
A97A2;ELO;11,15146225;0,610362847;1,374947356;1;0;0;1;?
A9A4E;AMEX;13,43126101;0,265817644;4,268057637;1;1;0;1;?
A9FEF;DINNERS;56,55017286;0,231074591;5,941664564;1;1;0;0;?
AA177;AMEX;7,654018285;1,196821217;3,865976883;1;0;0;1;?
AA188;MASTER;3,045372744;0,091252205;0,146399006;1;0;0;1;?
AA4A2;DINNERS;1,24955503;1,954453545;1,993879691;0;1;0;1;?
AAA18;AMEX;42,73585576;0,035699496;1,80639333;1;1;0;0;?
AB46D;ELO;265,3576778;0,062986578;3,981297153;1;0;0;1;?
ABB4D;DINNERS;7,100488776;9,924990966;7,529726497;1;0;0;1;?
AC475;VISA;32,37411508;3,218883872;2,392095936;1;0;0;0;?
AC5F0;ELO;26,06832403;1,360796438;4,983074583;1;0;0;1;?
